block,recipe,subsample,height_cm
1,c,1,6.2
1,c,2,6.3
1,c,3,6
1,a,1,5.6
1,a,2,4.7
1,a,3,5.2
1,b,1,5.8
1,b,2,5.8
1,b,3,6.3
8,a,1,4
8,a,2,4.2
8,a,3,4.3
8,b,1,4.3
8,b,2,4
8,b,3,4.4
8,c,1,4.3
8,c,2,4.3
8,c,3,4.4
Abby,a,2,4.8
Abby,c,2,4.8
Abby,a,1,5.1
Abby,c,3,3.9
Abby,b,2,4.7
Abby,c,1,5
Abby,b,1,4.5
Shannon,a,1,5
Shannon ,a,2,5
Shannon,a,3,4.6
Shannon,a,4,4.8
Shannon ,b,1,4.7
Shannon,b,2,4.5
Shannon,b,3,4.4
Shannon ,b,4,4.7
Shannon,c,1,4.7
Shannon,c,2,5.5
Shannon ,c,3,5.3
Shannon,c,4,5.2
20,c,1,2
20,c,2,2.1
20,c,3,1.9
20,c,4,1.8
20,c,5,2
20,b,1,1.8
20,b,2,1.8
20,b,3,1.6
20,b,4,1.9
20,b,5,2
20,b,6,1.6
20,a,1,2
20,a,2,1.7
20,a,3,1.8
20,a,4,2.1
20,a,5,2
5,a,1,3.5
5,a,2,2.7
5,a,3,4
5,b,1,2.8
5,b,2,3.8
5,b,3,3.5
5,c,1,3.8
5,c,2,3.5
5,c,3,3.7
5,c,4,3.6
,,,
,,,
,,,
2,c,1,4.5
2,c,2,5
2,c,3,5
2,c,4,4.8
2,b,1,5.3
2,b,2,5.2
2,b,3,4.9
2,b,4,5
2,a,1,5.6
2,a,2,6
2,a,3,5.6
2,a,4,6
4,c,1,2.1
4,c,2,2.7
4,b,1,4.9
4,b,2,3.5
4,b,3,4
4,a,1,4.7
4,a,2,3.5
4,a,3,3.7
4,a,4,3
Simpson ,a,1,5.7
Simpson ,a,2,5.8
Simpson ,a,3,5.8
Simpson ,a,4,5.3
Simpson ,b,1,6.5
Simpson ,b,2,6.3
Simpson ,b,3,6.2
Simpson ,b,4,6.4
Simpson ,c,1,5.8
Simpson ,c,2,5.7
Simpson ,c,3,5.8
Simpson ,c,2,5.9
