"row","col","yield","inoc","gen","dry","dust","block"
1,1,64,"Uninoc","Marquis","Dry","DuBay","B1"
1,10,69,"Uninoc","Marquis","Dry","Check","B1"
1,11,67,"Uninoc","Marquis","Dry","Ceresan","B1"
1,12,66,"Inoc","Marquis","Dry","Ceresan","B1"
1,13,71,"Inoc","Marquis","Dry","CaCO3","B1"
1,14,64,"Uninoc","Marquis","Dry","CaCO3","B1"
1,15,64,"Uninoc","Marquis","Wet","CaCO3","B1"
1,16,75,"Inoc","Marquis","Wet","CaCO3","B1"
1,17,70,"Inoc","Marquis","Wet","Ceresan","B1"
1,18,66,"Uninoc","Marquis","Wet","Ceresan","B1"
1,19,67,"Inoc","Marquis","Wet","DuBay","B1"
1,2,68,"Inoc","Marquis","Dry","DuBay","B1"
1,20,65,"Uninoc","Marquis","Wet","DuBay","B1"
1,3,68,"Uninoc","Marquis","Wet","Semesan","B1"
1,4,71,"Inoc","Marquis","Wet","Semesan","B1"
1,5,62,"Uninoc","Marquis","Dry","Semesan","B1"
1,6,73,"Inoc","Marquis","Dry","Semesan","B1"
1,7,56,"Uninoc","Marquis","Wet","Check","B1"
1,8,67,"Inoc","Marquis","Wet","Check","B1"
1,9,78,"Inoc","Marquis","Dry","Check","B1"
2,1,76,"Inoc","Mindum","Wet","DuBay","B1"
2,10,72,"Inoc","Mindum","Dry","Semesan","B1"
2,11,73,"Inoc","Mindum","Wet","Semesan","B1"
2,12,67,"Uninoc","Mindum","Wet","Semesan","B1"
2,13,72,"Inoc","Mindum","Dry","Ceresan","B1"
2,14,70,"Uninoc","Mindum","Dry","Ceresan","B1"
2,15,72,"Uninoc","Mindum","Dry","Check","B1"
2,16,85,"Inoc","Mindum","Dry","Check","B1"
2,17,76,"Inoc","Mindum","Dry","DuBay","B1"
2,18,70,"Uninoc","Mindum","Dry","DuBay","B1"
2,19,71,"Uninoc","Mindum","Dry","CaCO3","B1"
2,2,69,"Uninoc","Mindum","Wet","DuBay","B1"
2,20,74,"Inoc","Mindum","Dry","CaCO3","B1"
2,3,66,"Uninoc","Mindum","Wet","Ceresan","B1"
2,4,72,"Inoc","Mindum","Wet","Ceresan","B1"
2,5,75,"Uninoc","Mindum","Wet","Check","B1"
2,6,81,"Inoc","Mindum","Wet","Check","B1"
2,7,72,"Inoc","Mindum","Wet","CaCO3","B1"
2,8,71,"Uninoc","Mindum","Wet","CaCO3","B1"
2,9,70,"Uninoc","Mindum","Dry","Semesan","B1"
3,1,66,"Inoc","Marquis","Dry","CaCO3","B2"
3,10,60,"Inoc","Marquis","Dry","Ceresan","B2"
3,11,53,"Inoc","Marquis","Dry","DuBay","B2"
3,12,61,"Uninoc","Marquis","Dry","DuBay","B2"
3,13,73,"Inoc","Marquis","Dry","Check","B2"
3,14,56,"Uninoc","Marquis","Dry","Check","B2"
3,15,59,"Uninoc","Marquis","Wet","DuBay","B2"
3,16,55,"Inoc","Marquis","Wet","DuBay","B2"
3,17,47,"Inoc","Marquis","Dry","Semesan","B2"
3,18,58,"Uninoc","Marquis","Dry","Semesan","B2"
3,19,64,"Inoc","Marquis","Wet","Check","B2"
3,2,63,"Uninoc","Marquis","Dry","CaCO3","B2"
3,20,55,"Uninoc","Marquis","Wet","Check","B2"
3,3,63,"Inoc","Marquis","Wet","CaCO3","B2"
3,4,51,"Uninoc","Marquis","Wet","CaCO3","B2"
3,5,58,"Inoc","Marquis","Wet","Semesan","B2"
3,6,64,"Uninoc","Marquis","Wet","Semesan","B2"
3,7,60,"Inoc","Marquis","Wet","Ceresan","B2"
3,8,57,"Uninoc","Marquis","Wet","Ceresan","B2"
3,9,55,"Uninoc","Marquis","Dry","Ceresan","B2"
4,1,54,"Uninoc","Mindum","Wet","DuBay","B2"
4,10,72,"Inoc","Mindum","Dry","Ceresan","B2"
4,11,76,"Inoc","Mindum","Wet","Check","B2"
